Rang;Maedchen;Anzahl;Knaben;Anzahl
1;Sophie;49;Ben;30
2;Marie;37;Leon;25
3;Mia;29;Elias;22
4;Johanna;16;Alexander;18
5;Anna;14;Jonas;14
6;Lara;14;Luca;14
7;Laura;13;Noah;14
8;Sophia;13;Max;12
9;Charlotte;11;Maximilian;12
10;Leonie;11;Tim;12
11;Maria;11;Paul;11
12;Nele;11;Joel;10
13;Emilia;10;Jonathan;10
14;Emma;10;Noel;10
15;Katharina;10;Peter;10
16;Lea;10;David;9
17;Lina;10;Fynn;9
18;Lilly;9;Nick;9
19;Emily;8;Tom;9
20;Hanna;8;Felix;8
21;Hannah;8;Jan;8
22;Lena;8;Julian;8
23;Leni;8;Louis;8
24;Luisa;8;Moritz;8
25;Sofie;8;Nico;8
26;Amelie;7;Jakob;7
27;Ela;7;Jason;7
28;Fabienne;7;Mats;7
29;Jana;7;Vincent;7
30;Leyla;6;Daniel;6
